,Relaxed,NonRelaxed,Total,3.0
391.05999760000003,1.5430624391683628e-07,0.00611456437887675,0.006114718685120667,0.0357142437520041
393.92999269999996,8.474240576807813e-07,0.01525399149249766,0.015254838916555342,0.0453272527545513
396.9599915,4.17543091843566e-06,0.03324329653823592,0.033247471969154355,0.0609058143834838
400.0,1.723855429782858e-05,0.062402740191144494,0.06241997874544232,0.083689837955323
403.07000730000004,6.144404510904805e-05,0.10420482386391465,0.1042662679090237,0.118363612219161
406.0,0.0001811121786075503,0.15479293430395127,0.15497404648255883,0.164095407519677
409.07000730000004,0.0004977780761637897,0.21622707253686899,0.2167248506130328,0.217149316547487
411.9599915,0.0011659147519817396,0.27825504825419256,0.2794209630061743,0.276854258394722
415.0,0.002599569712173551,0.34352505005620976,0.3461246197683833,0.340219731376478
418.0299988,0.005310103153719447,0.40439854624521454,0.409708649398934,0.403768036994018
421.0599976,0.010056596671072332,0.45759869738564884,0.4676552940567212,0.460565344277673
423.9299927,0.01729765698265607,0.4986899575098627,0.5159876144925188,0.5091247867304721
426.9599915,0.028897887679550913,0.5309607828682168,0.5598586705477677,0.54809576294658
430.0,0.0457600626349474,0.5515248185358924,0.5972848811708398,0.5873715703572551
433.0299988,0.06884656193182324,0.5607112676160947,0.629557829547918,0.6204471454963261
436.0599976,0.0990413150248516,0.5596628403385606,0.6587041553634122,0.6572940895652171
438.9299927,0.13462525460741706,0.5505158123656078,0.6851410669730248,0.687894426511936
441.9400024,0.17925211148470793,0.5339015785541148,0.7131536900388227,0.720826561299505
445.0700073,0.23305994914248077,0.5106739542851451,0.7437339034276258,0.750184756982383
448.04998780000005,0.2902812206497595,0.48444244985399454,0.774723670503754,0.7886116332777672
451.0599976,0.3525536039408884,0.4552251584883802,0.8077787624292686,0.82300434093578
453.9299927,0.4144809813116618,0.42588466180494294,0.8403656431166047,0.8537157355032671
456.9599915,0.48062138304058477,0.3942838115030088,0.8749051945435935,0.887491193712845
460.0,0.545688486556496,0.36272088730401403,0.9084093738605101,0.9188841081235379
462.98001100000005,0.6062423983566615,0.33251930177048467,0.9387617001271462,0.941463389908054
465.9700012,0.6620187563016884,0.30339104153498503,0.9654097978366734,0.962027965153297
468.95001219999995,0.7111694383015947,0.27583553693923457,0.9870049752408293,0.979675463104252
471.9599915,0.7531252023252977,0.2496987833771089,1.0028239857024066,0.9888981948537171
475.0,0.7868401127609728,0.22514573640370728,1.01198584916468,0.9964681473296851
478.0299988,0.8113455370121254,0.20256112307877086,1.0139066600908964,1.0
481.0400085,0.82661594259579,0.18197972382648822,1.0085956664222782,0.9958289061465329
484.01998899999995,0.8330527274659961,0.1633740492342619,0.996426776700258,0.981320655678759
487.01000980000003,0.8313075777081697,0.14639919691112946,0.9777067746192991,0.970719489614222
490.0,0.8220180480794348,0.13102616303209455,0.9530442111115294,0.951120236241678
492.98001100000005,0.8060610223170672,0.1171932619117816,0.9232542842288488,0.9264443291519541
495.9700012,0.7842272984387259,0.10469752916735153,0.8889248276060774,0.888590664248523
498.95001219999995,0.7575961114819307,0.09351149186568151,0.8511076033476123,0.854343568533711
501.9400024,0.7269270217272933,0.0834507898148239,0.8103778115421172,0.8195050634020351
505.0700073,0.6915711549474066,0.07405198964849406,0.7656231445959006,0.7781768339450219
508.04998780000005,0.6556989597902153,0.06607724164702757,0.7217762014372429,0.732464329293152
511.0400085,0.618324000990575,0.05893522887332368,0.6772592298638987,0.6884964467142559
514.0200195,0.580381960813558,0.05258770818874964,0.6329696690023077,0.640246714961679
517.0100098,0.5422168020292364,0.04691248367860806,0.5891292857078445,0.596244910405369
520.0,0.5044642156664655,0.04185909740548121,0.5463233130719467,0.5518795843892429
522.9799805,0.4676672514969672,0.037375437921068094,0.5050426894180353,0.512782074133214
525.9699707,0.4319160982712361,0.03337154979964259,0.4652876480708787,0.468821943455697
528.9500122,0.3977097760822131,0.029820478280598917,0.427530254362812,0.432141805697472
532.0499878,0.3638435045929362,0.026540348738192717,0.3903838533311289,0.39298680104691797
535.0,0.3333748685721362,0.023767108964300728,0.35714197753643695,0.35804525147505
537.9400024,0.30479563480823996,0.02130342438199905,0.326099059190239,0.32518357220922495
541.0200195,0.2768065931270314,0.0190078877877611,0.29581448091479245,0.293078747994161
543.9699707000001,0.2518731178615298,0.017052476347363735,0.26892559420889356,0.266349525648239
547.0499877999999,0.22776750638376486,0.015235838853921843,0.2430033452376867,0.238557572444636
550.0,0.2064749720003645,0.013687140688560289,0.22016211268892477,0.21496669727391898
552.9400024,0.18693704040054004,0.012308955976465545,0.1992459963770056,0.19270091975530698
556.0200195,0.16818659366935768,0.01102222708061284,0.17920882074997052,0.17403473595714497
558.9699707000001,0.15178752166722032,0.009923641848751764,0.1617111635159721,0.15629611708890398
562.0499877999999,0.13619418890843465,0.008900457827643843,0.1450946467360785,0.140337918426113
565.0,0.1226267644699913,0.008025815011188892,0.1306525794811802,0.124615854670434
567.9400024,0.11034257633856749,0.007245271822267595,0.11758784816083509,0.111354927056523
571.0200195,0.09869860839463347,0.0065143075050689584,0.10521291589970243,0.100395998826117
573.9699707000001,0.08862900536607922,0.0058882307621501845,0.0945172361282294,0.0896572615627103
577.0499877999999,0.07915130155058003,0.0053031924653425344,0.08445449401592257,0.0808881582764527
580.0,0.07098093761767711,0.004801373017246377,0.0757823106349235,0.07248282717210801
582.9400024,0.06364362240554781,0.004352002424944488,0.0679956248304923,0.0643241079049596
586.0200195,0.05674105757895283,0.00392966240833991,0.06067071998729274,0.058232376706631
588.9699707000001,0.05081247587353768,0.003566594075508521,0.054379069949046205,0.0511726074525209
592.0200195,0.045317542740055665,0.003229194551547344,0.04854673729160301,0.0461963491903685
595.0700072999999,0.040405272546803976,0.0029262553199918364,0.04333152786679581,0.0410385347285935
597.9699707000001,0.0362216803990492,0.0026667564540336828,0.03888843685308289,0.0373394650115981
