,Relaxed,NonRelaxed,Total,2.0
396.9599915,3.7085979814979543e-06,0.035088332613856736,0.03509204121183823,0.0430336285660407
400.0,1.558456402115977e-05,0.054797467933399784,0.054813052497420946,0.0613234134900974
403.07000730000004,5.648950924711602e-05,0.07852710515057121,0.07858359465981832,0.0809692260996354
406.0,0.00016903635138285262,0.10327305506910063,0.10344209142048348,0.10252942025962598
409.07000730000004,0.00047153276138127794,0.12956600646656455,0.13003753922794584,0.125258562310604
411.9599915,0.0011190358627609675,0.15302254666422846,0.15414158252698942,0.148420982897287
415.0,0.002527650972576178,0.17488939750107785,0.17741704847365403,0.171322871815287
418.0299988,0.00522631168667282,0.1927645524535175,0.19799086414019032,0.193105302124465
421.0599976,0.010011509469969277,0.20611653824359527,0.21612804771356456,0.213210239131255
423.9299927,0.017396168303617662,0.21442355035617497,0.23181971865979262,0.23223758921338
426.9599915,0.029357780121432024,0.21876283500286722,0.24812061512429925,0.25098607852532895
430.0,0.046933738238475034,0.21894501429675892,0.26587875253523396,0.270667617185192
433.0299988,0.07124638529916794,0.21553286001766708,0.286779245316835,0.29263956082019393
436.0599976,0.10335934033828782,0.20917206962069926,0.3125314099589871,0.31824148828640303
438.9299927,0.141553888236141,0.2010173732107407,0.3425712614468817,0.34898623622684194
441.9400024,0.18988333133236357,0.1908227511970277,0.3807060825293913,0.385916715801548
445.0700073,0.24868473259819368,0.17901643050480817,0.4277011631030019,0.42965025065830104
448.04998780000005,0.3117691576255454,0.16711258551951175,0.47888174314505716,0.4796544319266579
451.0599976,0.3810118837300653,0.1548249303771073,0.5358368141071725,0.534796362660345
453.9299927,0.4504525675222679,0.1431483769258768,0.5936009444481447,0.593272258199143
456.9599915,0.52525763445616,0.13109883295204397,0.656356467408204,0.65324929651747
460.0,0.5995278356416347,0.11947745541445132,0.719005291056086,0.7126409959346129
462.98001100000005,0.6693221253060508,0.10866538860131665,0.7779875139073675,0.7695629963418209
465.9700012,0.7342991052405349,0.09847394937454064,0.8327730546150756,0.8226308275730629
468.95001219999995,0.7922687912528078,0.08901524372655592,0.8812840349793637,0.8707371172252449
471.9599915,0.8425140300533599,0.08018666620020833,0.9227006962535682,0.9126744536265451
475.0,0.8837384922867108,0.07200575232295257,0.9557442446096633,0.9474537942424001
478.0299988,0.9146803440621728,0.06456740786795509,0.9792477519301279,0.973958181200016
481.0400085,0.9351769922248925,0.057854527648849664,0.9930315198737422,0.9916129522477591
484.01998899999995,0.9455650343656355,0.05183535171699559,0.9974003860826312,1.0
487.01000980000003,0.946534531491376,0.04638124146943123,0.9929157729608072,0.998905571836073
490.0,0.9387244289041458,0.04147012519638798,0.9801945541005337,0.988810800100636
492.98001100000005,0.9230666049111476,0.037072074189231224,0.9601386791003788,0.970415829701177
495.9700012,0.900437466665248,0.03311473295910554,0.9335521996243535,0.9449308372689509
498.95001219999995,0.872026707127113,0.029583413186467032,0.9016101203135801,0.9135002387611109
501.9400024,0.8387022231785769,0.026415334646337166,0.8651175578249141,0.8772270290077141
505.0700073,0.7997728935408475,0.0234615011139455,0.823234394654793,0.8371136078738141
508.04998780000005,0.759879031877519,0.02095877581065469,0.7808378076881737,0.7939805690867281
511.0400085,0.7179909834589577,0.01871943179460581,0.7367104152535635,0.7486550794348101
514.0200195,0.6751950240109232,0.0167301779758526,0.6919252019867759,0.7018416417913599
517.0100098,0.6319142074118215,0.014951821802194988,0.6468660292140165,0.6542897721643001
520.0,0.5889008600225212,0.013367966873871269,0.6022688268963925,0.6067226547914439
522.9799805,0.5468046845390232,0.011961933733451068,0.5587666182724743,0.559823129653258
525.9699707,0.5057565051838715,0.010705339828833964,0.5164618450127054,0.5142832060914371
528.9500122,0.46635444744601584,0.009589681954789748,0.4759441294008056,0.470696788087365
532.0499878,0.42722783787389224,0.008557799134925699,0.43578563700881795,0.429291227197636
535.0,0.3919318530874103,0.00768405629622192,0.39961590938363223,0.39024461353137607
537.9400024,0.35874552565463547,0.006906557109822871,0.3656520827644583,0.35357457824866495
541.0200195,0.326171865193537,0.00618077484400889,0.3323526400375459,0.319454614050181
543.9699707000001,0.29709447809596456,0.005561280653358541,0.3026557587493231,0.287824268263671
547.0499877999999,0.2689292710656143,0.004984508445972382,0.2739137795115867,0.25885031760134103
550.0,0.24400728614823858,0.004491679356973384,0.24849896550521197,0.232244071600295
552.9400024,0.2211027755950006,0.004052081815099962,0.22515485741010058,0.20819388740588501
556.0200195,0.19908848945113247,0.0036406295043710213,0.2027291189555035,0.186459334654837
558.9699707000001,0.1798080138216454,0.003288424743013164,0.18309643856465857,0.16689162685200198
562.0499877999999,0.1614511557307516,0.0029595127493235976,0.1644106684800752,0.149248897760316
565.0,0.14546004156543457,0.0026775729970805605,0.14813761456251515,0.13337236451363602
567.9400024,0.13096560556620143,0.0024252698764373865,0.1333908754426388,0.119096964956205
571.0200195,0.1172123519904189,0.002188310381907033,0.11940066237232594,0.10629591550646002
573.9699707000001,0.10530717041246548,0.0019847533830075234,0.107291923795473,0.0946541175956673
577.0499877999999,0.0940917554901389,0.0017939688527826598,0.09588572434292156,0.0842416952341887
580.0,0.08441532940340618,0.0016298237057709901,0.08604515310917717,0.0748941876653961
582.9400024,0.07571895740896954,0.0014823916331306107,0.07720134904210016,0.0666306256110758
586.0200195,0.06753202158288964,0.001343396681585383,0.06887541826447502,0.0593322930528815
588.9699707000001,0.06049563470188493,0.001223531702962724,0.061719166404847654,0.0527800901215351
592.0200195,0.05396995531705654,0.0011117891479376543,0.0550817444649942,0.0471196704086587
595.0700072999999,0.048132900590909564,0.0010111345225538597,0.04914403511346342,0.042351033914251004
597.9699707000001,0.043159149069406516,0.0009246391395332797,0.044083788208939795,0.0384741806383122
