,Relaxed,NonRelaxed,VmRelaxed,VmNonRelaxed,y0Relaxed,y0Nonrelaxed,deltaS
0.0,39.900943972163574,60.09905602783642,473.6486648579053,436.3403259952634,0.451246205936849,0.8232211609039409,0.20198112055672846
1.0,44.86982610873088,55.13017389126913,474.1380232450014,434.2464850740505,0.5291677103200633,0.7902429797728696,0.10260347782538254
2.0,84.56684774294582,15.43315225705417,485.8229235377055,428.6030233314808,0.9472436291118711,0.21934667641029165,-0.6913369548589166
3.0,82.98844766848833,17.011552331511666,484.47579452000804,427.65274052096845,0.9429931261392545,0.24467179029756203,-0.6597689533697667
