,0,1,2,3
391.0599976,0.0063232902941026,0.0203348621016494,0.0105962071534152,0.0357142437520041
393.9299927,0.00808375741193876,0.0244354239268499,0.0186683692884339,0.0453272527545513
396.9599915,0.0120923901239991,0.0322030489269674,0.0317918976649525,0.0609058143834838
400,0.0194348184902679,0.0448934384371138,0.0499667922829711,0.083689837955323
403.0700073,0.0333978320574217,0.0689428010900959,0.0731930531424898,0.118363612219161
406,0.0555479774537626,0.10433573250517,0.101470680243508,0.164095407519677
409.0700073,0.0904134524058699,0.155942779102042,0.137500970479523,0.217149316547487
411.9599915,0.137897608320627,0.220818371633192,0.178310722141297,0.276854258394722
415,0.202605663556902,0.303322923611937,0.22138659665803,0.340219731376478
418.0299988,0.28257567167296,0.398048433928623,0.265314083441007,0.403768036994018
421.0599976,0.384385664134779,0.501344764401455,0.308661140598135,0.460565344277673
423.9299927,0.487572177432702,0.600413517926516,0.349865332277766,0.509124786730472
426.9599915,0.597343992310632,0.700619901645669,0.388806267559239,0.54809576294658
430,0.706181826256856,0.795163566382643,0.425470588818305,0.587371570357255
433.0299988,0.803531409012917,0.866281969911139,0.461022854463984,0.620447145496326
436.0599976,0.878966144821657,0.928715888918214,0.497200690759471,0.657294089565217
438.9299927,0.928526891443409,0.968318891776946,0.533220564504897,0.687894426511936
441.9400024,0.958633216223645,0.991589275718647,0.571582883557298,0.720826561299505
445.0700073,0.989178353870645,1,0.611292646935637,0.750184756982383
448.0499878,1,0.999734746526699,0.654529179570665,0.788611633277767
451.0599976,0.994287807092861,0.982467896867716,0.699291000594555,0.82300434093578
453.9299927,0.973663876205875,0.958006642529503,0.744680064286832,0.853715735503267
456.9599915,0.950234952046052,0.925487167669646,0.788717589589541,0.887491193712845
460,0.916778379326499,0.883017276304199,0.83160413671705,0.918884108123538
462.980011,0.871595316548526,0.838718419542534,0.872122065036468,0.941463389908054
465.9700012,0.823826074820902,0.786809459945732,0.909213153813184,0.962027965153297
468.9500122,0.773170300325253,0.735530338877346,0.937872601877613,0.979675463104252
471.9599915,0.724262041747013,0.679151353389417,0.960562193372857,0.988898194853717
475,0.670693138373581,0.628924846148066,0.978676906348944,0.996468147329685
478.0299988,0.619796358374781,0.577250114512114,0.992740987261759,1
481.0400085,0.569224043291631,0.52973004267236,1,0.995828906146533
484.019989,0.521813542998804,0.479472599167577,0.999569831699769,0.981320655678759
487.0100098,0.476710891005955,0.439116817958996,0.992255439319755,0.970719489614222
490,0.435435387677658,0.396148749928527,0.9789382751237,0.951120236241678
492.980011,0.39573362036487,0.357388242235054,0.958999388612579,0.926444329151954
495.9700012,0.355194657712987,0.322719360402417,0.93218104833897,0.888590664248523
498.9500122,0.324026169321171,0.2926904384589,0.897822645674977,0.854343568533711
501.9400024,0.29311573979828,0.263051738526999,0.860017101913172,0.819505063402035
505.0700073,0.262437760933411,0.237265584323398,0.819907441734586,0.778176833945022
508.0499878,0.234749128925133,0.212052418369809,0.777379109424929,0.732464329293152
511.0400085,0.208737498541961,0.189144179752352,0.732745237012995,0.688496446714256
514.0200195,0.187461432324106,0.169821231845942,0.685810795444336,0.640246714961679
517.0100098,0.168673912153599,0.152231545738285,0.640058916893935,0.596244910405369
520,0.147722692392402,0.13642996554912,0.594686268213761,0.551879584389243
522.9799805,0.131326663821594,0.122893163743624,0.549334872261836,0.512782074133214
525.9699707,0.11926841038622,0.108710474702585,0.505849189753694,0.468821943455697
528.9500122,0.104310389557747,0.0982856644396517,0.464528153303899,0.432141805697472
532.0499878,0.0958880771945847,0.0869428597053849,0.425486263706192,0.392986801046918
535,0.082324971993641,0.0775088179506908,0.387696085977889,0.35804525147505
537.9400024,0.073562764434124,0.0697290981975402,0.352360397078615,0.325183572209225
541.0200195,0.0639104584137978,0.0613727578881265,0.319319831553585,0.293078747994161
543.9699707,0.0574945186314462,0.0555207229022148,0.287701137751761,0.266349525648239
547.0499878,0.0495306596153073,0.0482369660050448,0.25963786212497,0.238557572444636
550,0.0446081439087359,0.0432050103093299,0.233885227167967,0.214966697273919
552.9400024,0.0396070741265905,0.0386131077376485,0.209852899510713,0.192700919755307
556.0200195,0.0348871586677291,0.0343063633022567,0.188298750017889,0.174034735957145
558.9699707,0.0286861062153168,0.0307089677888783,0.168255094432501,0.156296117088904
562.0499878,0.026795537203424,0.0273720851969509,0.150159953061934,0.140337918426113
565,0.0231055403411751,0.0242730473531019,0.134064218326137,0.124615854670434
567.9400024,0.0211376189524544,0.0218322584472691,0.119632142398645,0.111354927056523
571.0200195,0.01863619645119,0.0193781874367839,0.106673479445002,0.100395998826117
573.9699707,0.0173134858200175,0.0176102945366434,0.0946809384443791,0.0896572615627103
577.0499878,0.0144890061969058,0.0155277159154277,0.0843652539297034,0.0808881582764527
580,0.0127241473681353,0.0142176675260805,0.0751182294220324,0.072482827172108
582.9400024,0.0114940690096078,0.0126738273716814,0.0669959581556037,0.0643241079049596
586.0200195,0.0100186829418526,0.0114583415228874,0.0598129194471096,0.058232376706631
588.9699707,0.00867986744993012,0.0107883614161799,0.0532078841695665,0.0511726074525209
592.0200195,0.00858802749474208,0.00954036674443162,0.0473097906385791,0.0461963491903685
595.0700073,0.00733662098276588,0.00862282715614103,0.0422319961978645,0.0410385347285935
597.9699707,0.00659672569493029,0.00762892634698394,0.0376850438190233,0.0373394650115981
